time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
392400	1154.4	228.56298912991141	35555.2	19116.087208422123	36709.6	19266.54200005803	340.8	7.984985911070851	1006.0	38.16280912092295	1704	340.8	328	352	7.984985911070851	0	0.0	0	0	0.0	5030	1006.0	942	1058	38.16280912092295	16	0	52
396000	754.8	367.47538693088	22222.0	23306.630224037108	22976.8	23656.15961562654	342.8	8.704022058795577	1012.8	40.88716179927387	1714	342.8	329	354	8.704022058795577	0	0.0	0	0	0.0	5064	1012.8	946	1071	40.88716179927387	10	0	34
399600	865.8	324.758002210877	39999.6	13333.2	40865.4	13513.535534418814	346.4	9.372299611087985	1020.6	41.46613075752306	1732	346.4	331	359	9.372299611087985	0	0.0	0	0	0.0	5103	1020.6	952	1077	41.46613075752306	18	0	39
403200	1087.8	324.758002210877	39999.6	19372.69046467217	41087.4	19661.0230008512	350.0	8.318653737234168	1030.4	41.7880365655052	1750	350.0	336	360	8.318653737234168	0	0.0	0	0	0.0	5152	1030.4	960	1088	41.7880365655052	18	0	49
406800	976.8	353.8097794013048	31110.8	10886.512212825557	32087.6	11222.414617184664	352.8	7.833262411026455	1039.2	41.720019175451014	1764	352.8	340	362	7.833262411026455	0	0.0	0	0	0.0	5196	1039.2	966	1094	41.720019175451014	14	0	44
410400	1065.6	406.9327217120786	37777.4	20607.835020690552	38843.0	20847.454540063158	356.2	8.997777503361593	1048.8	40.419797129624484	1781	356.2	342	368	8.997777503361593	0	0.0	0	0	0.0	5244	1048.8	979	1101	40.419797129624484	17	0	48
414000	1198.8	163.13601686935965	42221.8	17777.600000000002	43420.6	17844.821417991272	360.0	9.444575162494075	1059.6	39.661568299803776	1800	360.0	346	373	9.444575162494075	0	0.0	0	0	0.0	5298	1059.6	991	1110	39.661568299803776	19	0	54
417600	1221.0	329.27921282704744	44444.0	23306.630224037108	45665.0	23603.402983468295	364.0	8.648699324175862	1070.6	38.74325747791478	1820	364.0	352	377	8.648699324175862	0	0.0	0	0	0.0	5353	1070.6	1001	1116	38.74325747791478	20	0	55
421200	754.8	237.03113719509508	24444.2	22662.08232621177	25199.0	22892.896741129112	366.2	9.579144011862438	1077.4	37.334166657366275	1831	366.2	352	381	9.579144011862438	0	0.0	0	0	0.0	5387	1077.4	1011	1121	37.334166657366275	11	0	34
424800	976.8	275.494754940997	31110.8	21545.02835830113	32087.6	21635.89854477969	369.0	8.899438184514796	1086.2	35.30099148749225	1845	369.0	358	384	8.899438184514796	0	0.0	0	0	0.0	5431	1086.2	1024	1129	35.30099148749225	14	0	44
428400	932.4	205.87433060000464	31110.8	20366.799418661732	32043.2	20396.884344428687	371.8	9.19565114605812	1094.6	34.4882588716798	1859	371.8	359	387	9.19565114605812	0	0.0	0	0	0.0	5473	1094.6	1034	1138	34.4882588716798	14	0	42
