time	gasSsssMean(2)	gasSsssStd(3)	gasTotalMean(4)	gasTotalStd(5)	ssssMean(6)	ssssStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
491280	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491340	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491400	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491460	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491520	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491580	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491640	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491700	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491760	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491820	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491880	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
491940	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492000	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492060	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492120	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492180	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492240	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492300	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492360	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492420	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492480	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492540	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492600	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492660	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492720	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492780	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492840	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492900	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
492960	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493020	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493080	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493140	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493200	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493260	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493320	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493380	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493440	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493500	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493560	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493620	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493680	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493740	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493800	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493860	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
493920	0.0	0.0	0.0	0.0	0.8	0.4000000000000001	4	0.8	0	1	0.4000000000000001
