time	gasCreateKittyMean(2)	gasCreateKittyStd(3)	gasTransferKittyMean(4)	gasTransferKittyStd(5)	gasTotalMean(6)	gasTotalStd(7)	transferKittyMean(8)	transferKittyStd(9)	createKittyMean(10)	createKittyStd(11)	totKitty(12)	avgKitty(13)	minKitty(14)	maxKitty(15)	stdKitty(16)
251040	0.0	0.0	153.6	51.2	153.6	51.2	17488.2	168.64684995575814	0.8	0.7483314773547883	87445	17489.0	17239	17699	168.2723982119468
251100	0.0	0.0	83.2	71.83982182605968	83.2	71.83982182605968	17490.8	167.88853445068844	0.8	0.7483314773547883	87458	17491.6	17240	17700	167.51907354089565
251160	0.0	0.0	166.4	58.65696889543476	166.4	58.65696889543476	17496.0	168.64993329379055	0.8	0.7483314773547883	87484	17496.8	17242	17705	168.2823817278565
251220	0.0	0.0	128.0	72.97122720634484	128.0	72.97122720634484	17500.0	170.7161386629864	0.8	0.7483314773547883	87504	17500.8	17244	17712	170.3471749105338
251280	0.0	0.0	128.0	57.243340223994615	128.0	57.243340223994615	17504.0	169.92822014015212	0.8	0.7483314773547883	87524	17504.8	17251	17715	169.5551827577087
251340	0.0	0.0	115.2	55.79390647732062	115.2	55.79390647732062	17507.6	170.60550987585367	0.8	0.7483314773547883	87542	17508.4	17254	17718	170.22878722472296
251400	0.0	0.0	134.4	23.946607275353223	134.4	23.946607275353223	17511.8	170.26262067758736	0.8	0.7483314773547883	87563	17512.6	17259	17722	169.88537311964205
251460	0.0	0.0	185.6	127.03637274418693	185.6	127.03637274418693	17517.6	173.44693713063947	0.8	0.7483314773547883	87592	17518.4	17262	17732	173.0671545961278
251520	0.0	0.0	115.2	79.9359743794995	115.2	79.9359743794995	17521.2	173.13047103268678	0.8	0.7483314773547883	87610	17522.0	17268	17739	172.75531829729584
251580	0.0	0.0	134.4	23.946607275353223	134.4	23.946607275353223	17525.4	172.95849213033745	0.8	0.7483314773547883	87631	17526.2	17273	17744	172.58435618560566
251640	0.0	0.0	198.4	51.2	198.4	51.2	17531.6	173.0243913441108	0.8	0.7483314773547883	87662	17532.4	17278	17750	172.65294668785702
251700	0.0	0.0	115.2	62.70693741524936	115.2	62.70693741524936	17535.2	172.4382788130292	0.8	0.7483314773547883	87680	17536.0	17285	17754	172.0639416031145
251760	0.0	0.0	153.6	23.946607275353223	153.6	23.946607275353223	17540.0	172.2405294929158	0.8	0.7483314773547883	87704	17540.8	17291	17759	171.8655288299547
251820	0.0	0.0	166.4	51.199999999999996	166.4	51.199999999999996	17545.2	172.0260445397731	0.8	0.7483314773547883	87730	17546.0	17298	17764	171.64731282487355
251880	0.0	0.0	115.2	100.38007770469198	115.2	100.38007770469198	17548.8	169.90044143556543	0.8	0.7483314773547883	87748	17549.6	17302	17765	169.52710697702597
251940	0.0	0.0	108.8	25.6	108.8	25.6	17552.2	169.3935063690459	0.8	0.7483314773547883	87765	17553.0	17306	17768	169.0207087903728
252000	0.0	0.0	115.2	47.893214550706446	115.2	47.893214550706446	17555.8	168.47955365562908	0.8	0.7483314773547883	87783	17556.6	17311	17772	168.11020195098214
252060	0.0	0.0	153.6	23.946607275353223	153.6	23.946607275353223	17560.6	168.51658672071423	0.8	0.7483314773547883	87807	17561.4	17316	17776	168.14469958937156
252120	0.0	0.0	115.2	43.40691189200172	115.2	43.40691189200172	17564.2	169.22694820861128	0.8	0.7483314773547883	87825	17565.0	17317	17780	168.85733623387526
252180	0.0	0.0	134.4	68.33330081300039	134.4	68.33330081300039	17568.4	171.1579387583293	0.8	0.7483314773547883	87846	17569.2	17318	17786	170.78805578845376
252240	0.0	0.0	83.2	43.406911892001716	83.2	43.406911892001716	17571.0	172.04883027791848	0.8	0.7483314773547883	87859	17571.8	17319	17791	171.6827306399802
252300	0.0	0.0	115.2	87.28436286070948	115.2	87.28436286070948	17574.6	172.6575801984958	0.8	0.7483314773547883	87877	17575.4	17320	17797	172.30043528673977
252360	0.0	0.0	128.0	20.23857702507763	128.0	20.23857702507763	17578.6	172.89141100702489	0.8	0.7483314773547883	87897	17579.4	17324	17801	172.53243173386272
252420	0.0	0.0	160.0	35.05424368033063	160.0	35.05424368033063	17583.6	172.5753168909158	0.8	0.7483314773547883	87922	17584.4	17330	17806	172.2168400592695
252480	0.0	0.0	128.0	60.71573107523288	128.0	60.71573107523288	17587.6	172.7189624795147	0.8	0.7483314773547883	87942	17588.4	17332	17808	172.35846367382138
252540	0.0	0.0	102.4	47.03020306143702	102.4	47.03020306143702	17590.8	172.7546236718427	0.8	0.7483314773547883	87958	17591.6	17337	17812	172.39211118841837
