time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
262800	22.2	44.4	2222.2	4444.4	2244.4	4488.8	50.6	4.586937976471886	31.6	4.079215610874227	253	50.6	47	59	4.586937976471886	0	0.0	0	0	0.0	158	31.6	26	38	4.079215610874227	1	0	1
266400	22.2	44.4	6666.6	5443.2561064127785	6688.8	5461.532729921153	51.2	4.915282290977803	31.8	4.019950248448356	256	51.2	47	60	4.915282290977803	0	0.0	0	0	0.0	159	31.8	26	38	4.019950248448356	3	0	1
270000	0.0	0.0	2222.2	4444.4	2222.2	4444.4	51.4	4.758150901348127	31.8	4.019950248448356	257	51.4	47	60	4.758150901348127	0	0.0	0	0	0.0	159	31.8	26	38	4.019950248448356	1	0	0
273600	44.4	54.37867228978655	6666.6	5443.2561064127785	6711.0	5479.658456509858	52.0	5.059644256269407	32.2	3.867815921162743	260	52.0	47	61	5.059644256269407	0	0.0	0	0	0.0	161	32.2	27	38	3.867815921162743	3	0	2
277200	66.6	88.8	11111.0	12171.490672879801	11177.6	12252.607242542299	53.0	5.932958789676531	32.8	4.445222154178573	265	53.0	47	64	5.932958789676531	0	0.0	0	0	0.0	164	32.8	27	40	4.445222154178573	5	0	3
280800	44.4	54.37867228978655	8888.8	10886.512212825557	8933.2	10940.890885115343	53.8	5.3814496188294845	33.2	4.445222154178573	269	53.8	49	64	5.3814496188294845	0	0.0	0	0	0.0	166	33.2	27	40	4.445222154178573	4	0	2
284400	88.8	83.0647939863815	8888.8	8314.711044889053	8977.6	8397.775838875434	54.6	5.6780278266313555	34.0	4.1952353926806065	273	54.6	49	65	5.6780278266313555	0	0.0	0	0	0.0	170	34.0	29	41	4.1952353926806065	4	0	4
288000	22.2	44.4	4444.4	5443.2561064127785	4466.6	5470.5580556283285	55.0	5.865151319446072	34.2	4.069397989875161	275	55.0	50	66	5.865151319446072	0	0.0	0	0	0.0	171	34.2	29	41	4.069397989875161	2	0	1
291600	22.2	44.4	2222.2	4444.4	2244.4	4488.8	55.2	5.706137047074843	34.4	3.9799497484264794	276	55.2	51	66	5.706137047074843	0	0.0	0	0	0.0	172	34.4	29	41	3.9799497484264794	1	0	1
295200	66.6	88.8	13333.2	8314.711044889054	13399.8	8386.077352373994	56.4	5.4258639865002145	35.0	3.847076812334269	282	56.4	53	67	5.4258639865002145	0	0.0	0	0	0.0	175	35.0	29	41	3.847076812334269	6	0	3
298800	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	56.8	5.30659966456864	35.4	3.4985711369071804	284	56.8	53	67	5.30659966456864	0	0.0	0	0	0.0	177	35.4	30	41	3.4985711369071804	2	0	2
302400	66.6	88.8	11111.0	9937.980519200066	11177.6	9987.892622570589	57.8	5.706137047074843	36.0	4.147288270665544	289	57.8	54	69	5.706137047074843	0	0.0	0	0	0.0	180	36.0	30	43	4.147288270665544	5	0	3
306000	88.8	129.44713206556565	11111.0	12171.490672879801	11199.8	12293.165262047038	58.8	5.230678732248808	36.8	3.8678159211627428	294	58.8	55	69	5.230678732248808	0	0.0	0	0	0.0	184	36.8	31	43	3.8678159211627428	5	0	4
309600	66.6	54.37867228978655	8888.8	4444.4	8955.4	4477.906367935801	59.6	5.388877434122992	37.4	4.223742416388575	298	59.6	55	70	5.388877434122992	0	0.0	0	0	0.0	187	37.4	31	44	4.223742416388575	4	0	3
313200	44.4	88.8	6666.6	8888.800000000001	6711.0	8966.60305801478	60.2	5.114684741017769	37.8	4.261455150532503	301	60.2	55	70	5.114684741017769	0	0.0	0	0	0.0	189	37.8	31	44	4.261455150532503	3	0	2
316800	44.4	54.37867228978655	4444.4	5443.2561064127785	4488.8	5497.634778702564	60.6	5.4258639865002145	38.2	4.621688003316537	303	60.6	55	71	5.4258639865002145	0	0.0	0	0	0.0	191	38.2	31	45	4.621688003316537	2	0	2
320400	0.0	0.0	0.0	0.0	0.0	0.0	60.6	5.4258639865002145	38.2	4.621688003316537	303	60.6	55	71	5.4258639865002145	0	0.0	0	0	0.0	191	38.2	31	45	4.621688003316537	0	0	0
324000	44.4	54.37867228978655	8888.8	8314.711044889054	8933.2	8326.746553126257	61.4	5.535341001239218	38.6	4.841487374764082	307	61.4	56	72	5.535341001239218	0	0.0	0	0	0.0	193	38.6	31	46	4.841487374764082	4	0	2
327600	88.8	129.44713206556565	8888.8	12957.541300725226	8977.6	13086.988432790793	62.2	5.775811631277461	39.4	5.4258639865002145	311	62.2	56	73	5.775811631277461	0	0.0	0	0	0.0	197	39.4	31	47	5.4258639865002145	4	0	4
331200	66.6	88.8	8888.8	12957.541300725226	8955.4	13045.116812048867	63.0	6.81175454637056	40.0	5.727128425310541	315	63.0	56	76	6.81175454637056	0	0.0	0	0	0.0	200	40.0	32	49	5.727128425310541	4	0	3
334800	66.6	88.8	6666.6	8888.800000000001	6733.2	8977.6	63.6	7.059745037889116	40.6	5.535341001239218	318	63.6	56	77	7.059745037889116	0	0.0	0	0	0.0	203	40.6	34	50	5.535341001239218	3	0	3
338400	22.2	44.4	4444.4	5443.2561064127785	4466.6	5470.5580556283285	64.0	6.81175454637056	40.8	5.635601121442148	320	64.0	57	77	6.81175454637056	0	0.0	0	0	0.0	204	40.8	34	50	5.635601121442148	2	0	1
342000	22.2	44.4	8888.8	4444.4	8911.0	4455.707396138126	64.8	6.881860213634101	41.0	5.966573556070519	324	64.8	58	78	6.881860213634101	0	0.0	0	0	0.0	205	41.0	34	51	5.966573556070519	4	0	1
345600	44.4	54.37867228978655	11111.0	12171.490672879801	11155.4	12212.075951286904	65.8	7.0823724838503095	41.4	6.406246951218787	329	65.8	59	79	7.0823724838503095	0	0.0	0	0	0.0	207	41.4	34	52	6.406246951218787	5	0	2
349200	22.2	44.4	2222.2	4444.4	2244.4	4488.8	66.0	6.985699678629192	41.6	6.343500610861482	330	66.0	59	79	6.985699678629192	0	0.0	0	0	0.0	208	41.6	34	52	6.343500610861482	1	0	1
352800	0.0	0.0	2222.2	4444.4	2222.2	4444.4	66.2	6.910861017268398	41.6	6.343500610861482	331	66.2	59	79	6.910861017268398	0	0.0	0	0	0.0	208	41.6	34	52	6.343500610861482	1	0	0
356400	44.4	54.37867228978655	6666.6	5443.2561064127785	6711.0	5479.658456509858	66.8	6.764613810115105	42.0	6.418722614352485	334	66.8	59	79	6.764613810115105	0	0.0	0	0	0.0	210	42.0	34	52	6.418722614352485	3	0	2
360000	22.2	44.4	8888.8	8314.711044889053	8911.0	8350.352399749367	67.6	7.08801805866774	42.2	6.4	338	67.6	59	80	7.08801805866774	0	0.0	0	0	0.0	211	42.2	34	52	6.4	4	0	1
363600	88.8	83.06479398638149	8888.8	8314.711044889053	8977.6	8397.775838875434	68.4	7.605261336732617	43.0	6.985699678629192	342	68.4	60	82	7.605261336732617	0	0.0	0	0	0.0	215	43.0	34	54	6.985699678629192	4	0	4
367200	44.4	54.37867228978655	6666.6	8888.8	6711.0	8938.775844599752	69.0	8.12403840463596	43.4	7.172168430816443	345	69.0	61	84	8.12403840463596	0	0.0	0	0	0.0	217	43.4	34	55	7.172168430816443	3	0	2
370800	0.0	0.0	4444.4	5443.2561064127785	4444.4	5443.2561064127785	69.4	8.01498596380555	43.4	7.172168430816443	347	69.4	61	84	8.01498596380555	0	0.0	0	0	0.0	217	43.4	34	55	7.172168430816443	2	0	0
