time	gasCreateUserMean(2)	gasCreateUserStd(3)	gasCreateProposalMean(4)	gasCreateProposalStd(5)	gasTotalMean(6)	gasTotalStd(7)	createProposalMean(8)	createProposalStd(9)	createUserMean(10)	createUserStd(11)	totProposal(12)	avgProposal(13)	minProposal(14)	maxProposal(15)	stdProposal(16)	totVote(17)	avgVote(18)	minVote(19)	maxVote(20)	stdVote(21)	totUser(22)	avgUser(23)	minUser(24)	maxUser(25)	stdUser(26)	totAggrProposal(27)	totAggrVote(28)	totAggrUser(29)
352800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
356400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
360000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
363600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
367200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
370800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
374400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
378000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
381600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
385200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
388800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
392400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
396000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
399600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
403200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
406800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
410400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
414000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
417600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
421200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
424800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
428400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
432000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
435600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
439200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
442800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
446400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
450000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
453600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
457200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
460800	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
464400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
468000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
471600	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
475200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2494.6	34.24967153127165	0	0.0	0	0	0.0	0	0.0	0	0	0.0	12473	2494.6	2446	2551	34.24967153127165	0	0	0
