time	gasTotalMean	gasTotalStd	gasNewCreatorMean	gasNewCreatorStd	gasNewAssetMean	gasNewAssetStd	gasHolderPolicyUpdateMean	gasHolderPolicyUpdateStd	gasCharacteristicUpdateMean	gasCharacteristicUpdateStd	gasTransferMean	gasTransferStd	TotalNumCreators	maxCreators	minCreators	avgCreators	stdCreators	TotalNumAssets	maxAssets	minAssets	avgAssets	stdAssets
4500	2648996.6	5122323.446975996	0.0	0.0	1025897.0	3077691.0	1111117.5	3068828.8699447303	245411.1	677808.3044186535	266571.0	736250.4691808352	6	2	0	0.6	0.6633249580710799	311	107	0	31.1	43.23297352715864
4560	3731063.0	7972912.198421114	0.0	0.0	1025897.0	3077691.0	1851862.5	5286935.205712876	409018.5	1167718.611634434	444285.0	1268401.9509386604	6	2	0	0.6	0.6633249580710799	321	107	0	32.1	43.149623405077364
4620	2656191.7	4278729.718435322	0.0	0.0	1333666.1	3671794.142587692	905355.0	1810710.0	199964.6	399929.20000000007	217206.0	434412.0	6	2	0	0.6	0.6633249580710799	334	107	0	33.4	43.453883600893484
4680	2641801.5	5042413.316274604	0.0	0.0	718127.9	2154383.699999999	1316880.0	3321901.581583205	290857.6	733704.1503064025	315936.0	796965.7813005524	6	2	0	0.6	0.6633249580710799	341	107	0	34.1	43.690845723103145
4740	1.19667906E7	2.238795193022802E7	0.0	0.0	1025897.0	2247627.71430751	7489755.0	1.5034805536860961E7	1654252.6	3320718.254448462	1796886.0	3607038.09162088	6	2	0	0.6	0.6633249580710799	351	107	0	35.1	44.410471738093484
4800	8695756.4	1.6675995582116663E7	0.0	0.0	820717.6	1704348.1002192132	5390977.5	1.0990799651984211E7	1190698.3	2427523.8509636135	1293363.0	2636830.4468511054	6	2	0	0.6	0.6633249580710799	359	107	0	35.9	45.09645218861457
4860	1.4000249E7	2.6581280383933306E7	0.0	0.0	1436255.8	3015509.014382441	8600872.5	1.7930829482229937E7	1899663.7	3960359.356365532	2063457.0	4301830.495791414	6	2	0	0.6	0.6633249580710799	373	107	0	37.3	46.40053878997527
4920	2.41668453E7	5.803361472015534E7	0.0	0.0	1744024.9	3495585.021138878	1.53498825E7	3.828069609687605E7	3390308.9	8455008.347812053	3682629.0	9184018.28721116	6	2	0	0.6	0.6633249580710799	390	109	0	39.0	48.27835954131002
4980	2.82650965E7	5.4898028588589236E7	0.0	0.0	1333666.1	2754681.4987818263	1.843632E7	3.726144698600653E7	4072006.4	8229888.10132821	4423104.0	8939487.664002003	6	2	0	0.6	0.6633249580710799	403	114	0	40.3	49.76755971513974
5040	3.21019989E7	6.1654514709003165E7	0.0	0.0	1744024.9	3495585.021138878	2.07820125E7	4.1376275592232876E7	4590096.5	9138725.028624805	4985865.0	9926686.566359643	6	2	0	0.6	0.6633249580710799	420	122	0	42.0	51.921093979229674
5100	5.02815035E7	9.87969806947845E7	0.0	0.0	1949204.3	3958686.487602676	3.308661E7	6.61709166483454E7	7307797.2	1.4615085661668329E7	7937892.0	1.5875231397098942E7	6	2	0	0.6	0.6633249580710799	439	133	0	43.9	54.57004672895195
5160	6.58192066E7	1.3405852507283266E8	0.0	0.0	1436255.8	3015509.014382441	4.40743275E7	9.109019191266455E7	9734640.3	2.0118974092747264E7	1.0573983E7	2.1853677534869984E7	6	2	0	0.6	0.6633249580710799	453	142	0	45.3	56.65695014735615
5220	5.87256602E7	1.2470239932464625E8	0.0	0.0	1436255.8	3676091.153001998	3.92183325E7	8.317775428695619E7	8662102.9	1.8371364122238763E7	9408969.0	1.995538468076346E7	6	2	0	0.6	0.6633249580710799	467	154	0	46.7	59.00516926507371
5280	7.00625224E7	1.430825869923758E8	0.0	0.0	1231076.4	3365192.3694779826	4.71196125E7	9.60866813497299E7	1.04072485E7	2.1222542319229692E7	1.1304585E7	2.3052397909382984E7	6	2	0	0.6	0.6633249580710799	479	165	0	47.9	61.17098985630361
