time	gasInitializeMean(2)	gasInitializeStd(3)	gasMintMean(4)	gasMintStd(5)	gasTotalMean(6)	gasTotalStd(7)	mintMean(8)	mintStd(9)	initializeMean(10)	initializeStd(11)	totPool(12)	avgPool(13)	minPool(14)	maxPool(15)	stdPool(16)
4020	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4080.0	0.0	0	0.0	0	0	0.0
4080	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4140.0	0.0	0	0.0	0	0	0.0
4140	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4200.0	0.0	0	0.0	0	0	0.0
4200	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4260.0	0.0	0	0.0	0	0	0.0
4260	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4320.0	0.0	0	0.0	0	0	0.0
4320	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4380.0	0.0	0	0.0	0	0	0.0
4380	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4440.0	0.0	0	0.0	0	0	0.0
4440	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4500.0	0.0	0	0.0	0	0	0.0
4500	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4560.0	0.0	0	0.0	0	0	0.0
4560	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4620.0	0.0	0	0.0	0	0	0.0
4620	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4680.0	0.0	0	0.0	0	0	0.0
4680	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4740.0	0.0	0	0.0	0	0	0.0
4740	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4800.0	0.0	0	0.0	0	0	0.0
4800	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4860.0	0.0	0	0.0	0	0	0.0
4860	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4920.0	0.0	0	0.0	0	0	0.0
4920	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	4980.0	0.0	0	0.0	0	0	0.0
4980	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5040.0	0.0	0	0.0	0	0	0.0
5040	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5100.0	0.0	0	0.0	0	0	0.0
5100	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5160.0	0.0	0	0.0	0	0	0.0
5160	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5220.0	0.0	0	0.0	0	0	0.0
5220	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5280.0	0.0	0	0.0	0	0	0.0
5280	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5340.0	0.0	0	0.0	0	0	0.0
5340	3000000.0	0.0	0.0	0.0	3000000.0	0.0	0.0	0.0	5400.0	0.0	0	0.0	0	0	0.0
