time	gasDsefwffdsMean(2)	gasDsefwffdsStd(3)	gasTotalMean(4)	gasTotalStd(5)	dsefwffdsMean(6)	dsefwffdsStd(7)	totKitty(8)	avgKitty(9)	minKitty(10)	maxKitty(11)	stdKitty(12)
99960	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100020	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100080	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100140	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100200	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100260	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100320	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100380	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100440	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100500	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100560	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100620	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100680	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100740	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100800	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100860	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100920	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
100980	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101040	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101100	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
101160	0.0	0.0	0.0	0.0	1.8	0.7483314773547883	9	1.8	1	3	0.7483314773547883
